status,name,company_profile,head,short_name,location,edrpou
припинено,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ПРИЧОРНОМОР'Я""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,ЛИХОПЬОК ДЕНИС ПАВЛОВИЧ,"ВАТ ""КБ ""ПРИЧОРНОМОР'Я""","49005, Дніпропетровська обл., місто Дніпро, Жовтневий район, ПРОСПЕКТ ГАГАРІНА , будинок 33",23928584
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДІАЛОГБАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,БОТКАЧИК СВІТЛАНА ІВАНІВНА,"ТОВ ""ДІАЛОГБАНК""","49101, Дніпропетровська обл., місто Дніпро, Кіровський район, ВУЛИЦЯ СВЕРДЛОВА, будинок 26,  ПОЗІЦІЯ 5",21734522
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ВОСТОК""",64.19 Інші види грошового посередництва,МОРОХОВСЬКИЙ ВАДИМ ВІКТОРОВИЧ,"ПАТ  ""БАНК ВОСТОК""","49051, Дніпропетровська обл., місто Дніпро, Самарський район, ВУЛИЦЯ  КУРСАНТСЬКА, будинок 24",26237202
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""АКСІОМА""",64.19 Інші види грошового посередництва,ПРИХОДЬКО ЮЛІЯ ВІКТОРІВНА,"ПАТ ""КБ ""АКСІОМА""","49005, Дніпропетровська обл., місто Дніпро, Жовтневий район, ВУЛИЦЯ СІМФЕРОПОЛЬСЬКА, будинок 11, приміщення 25",33972230
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""КОНКОРД""",64.19 Інші види грошового посередництва,МІНЯЙЛО ВАЛЕНТИН ФРАНЦЕВИЧ,"ПАТ ""АКБ ""КОНКОРД""","49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ПЛОЩА ТРОЇЦЬКА, будинок 2",34514392
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКТАБАНК""",64.19 Інші види грошового посередництва,ПРИХОДЬКО ЮЛІЯ ВІКТОРІВНА,"ПАТ  ""АКТАБАНК""","49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ВУЛИЦЯ ШЕВЧЕНКА, будинок 53",35863708
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІНТЕРКРЕДИТБАНК""",64.19 Інші види грошового посередництва,ПРИХОДЬКО ЮЛІЯ ВІКТОРІВНА,"ПАТ ""ІНТЕРКРЕДИТБАНК""","49055, Дніпропетровська обл., місто Дніпро, Красногвардійський район, ВУЛИЦЯ ТИТОВА, будинок 36",37731532
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МЕЛІОР БАНК""",64.19 Інші види грошового посередництва,ЩАДНИХ ОЛЕКСАНДР ЛЕОНІДОВИЧ,"ПАТ ""МЕЛІОР БАНК""","49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район, ВУЛИЦЯ ЛИВАРНА, будинок 9, приміщення 75",37987811
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦЕНТ-БАНК""",64.19 Інші види грошового посередництва,КАНДАУРОВ ЮРІЙ ВАСИЛЬОВИЧ,"ПАТ ""А-БАНК""","49074, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ БАТУМСЬКА, будинок 11",14360080
припинено,"Комерційний банк ""АМАСКО""",,,,"261400, м. Бердичів, вул. Hізгурецька, 16",13566973
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КОМЕРЦІЙНИЙ БАНК ""КООПІНВЕСТБАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ГІСЕМ МИРОСЛАВ ВОЛОДИМИРОВИЧ,"ТОВ КБ ""КООПІНВЕСТБАНК""","88000, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ГОЙДИ, будинок 10",19355562
припинено,"Акціонерний комерційний банк ""Сервіс""",,,,"294018, м. Ужгород, пл. Б. Хмельницького, 2",21101701
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МОТОР-БАНК""",64.19 Інші види грошового посередництва,ЧИХУН ВАДИМ ВАСИЛЬОВИЧ,"ПАТ ""МОТОР-БАНК""","69068, Запорізька обл., місто Запоріжжя, Шевченківський район, ПРОСПЕКТ МОТОРОБУДІВНИКІВ, будинок 54 ""Б""",35345213
припинено,"АКЦІОНЕРНИЙ БАНК ""МЕТАЛУРГ""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,НУЖНИЙ СЕРГІЙ ПАВЛОВИЧ,"АБ ""МЕТАЛУРГ""","69006, Запорізька обл., місто Запоріжжя, Дніпровський район, ПРОСПЕКТ МЕТАЛУРГІВ, будинок 30",20496061
припинено,"АКЦІОНЕРНЕ ТОВАРИСТВО ""НАШ БАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,СЕРГІЄНКО ІГОР ВЛАДЛЕНОВИЧ,"АТ ""НАШ БАНК""","69006, Запорізька обл., місто Запоріжжя, Дніпровський район, ВУЛИЦЯ ДОБРОЛЮБОВА, будинок 22",20510134
припинено,"КОМЕРЦІЙНИЙ АКЦІОНЕРНИЙ БАНК ""СЛОВ'ЯНСЬКИЙ""",64.11 Діяльність центрального банку,ЛІПКЕВИЧ ТЕТЯНА ВАСИЛІВНА,"КАБ""СЛОВ'ЯНСЬКИЙ""","69600, Запорізька обл., місто Запоріжжя, Дніпровський район, ВУЛИЦЯ  КРЕМЛІВСЬКА, будинок 8",9806354
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК "" ІНДУСТРІАЛБАНК """,64.19 Інші види грошового посередництва,БУКРЄЄВ МИХАЙЛО ЮРІЙОВИЧ,"АКБ "" ІНДУСТРІАЛБАНК""","69037, Запорізька обл., місто Запоріжжя, Вознесенівський район, ВУЛИЦЯ НЕЗАЛЕЖНОЇ УКРАЇНИ, будинок 39 Д",13857564
припинено,"Акціонерний банк ""Вікторія""",,,,"280009, м. Хмельницький, вул. Козацька, 55",21329000
припинено,"Комерційний акціонерний банк споживчої кооперації Хмельницької області ""Поділля""",,,,"280000, м. Хмельницький, вул. Герцена, 10",19358454
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""КИЇВСЬКА РУСЬ""",64.19 Інші види грошового посередництва,БІЛА ІРИНА ВОЛОДИМИРІВНА,"ПАТ ""БАНК ""КИЇВСЬКА РУСЬ""","04071, м.Київ, Подільський район, ВУЛИЦЯ ХОРИВА, будинок 11-А",24214088
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РАДИКАЛ БАНК""",64.19 Інші види грошового посередництва,САВЕЛЬЄВА АННА МИКОЛАЇВНА,"ПАТ ""РАДИКАЛ БАНК""","08130, Київська обл., Києво-Святошинський район, село Петропавлівська Борщагівка, ВУЛИЦЯ ЛЕНІНА, будинок 2-В",36964568
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""",64.19 Інші види грошового посередництва,ТІХОМІРОВ ОЛЕКСАНДР ВАЛЕНТИНОВИЧ,"ПАТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","03062, м.Київ, Святошинський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 67",22868414
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ БАНК ""УКРГАЗБАНК""",64.19 Інші види грошового посередництва,ШЕВЧЕНКО КИРИЛО ЄВГЕНОВИЧ,"АБ ""УКРГАЗБАНК""","03087, м.Київ, Солом'янський район, ВУЛИЦЯ ЄРЕВАНСЬКА, будинок 1",23697280
припинено,Києво-Печерський акціонерно-комерційний банк,,,,"252133, м. Київ, вул. І.Кудрі, 32",22869483
припинено,"ЗАКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДОЧІРНІЙ БАНК СБЕРБАНКУ РОСІЇ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ЮШКО ІГОР ОЛЕГОВИЧ,"ЗАТ ""СБЕРБАНК РОСІЇ""","01034, м.Київ, Шевченківський район, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 46",25959784
