status,name,company_profile,head,short_name,location,edrpou
припинено,"Акціонерний банк ""Тернопіль - кредит""",,,,"282000, м. Тернопіль, вул. Йосипа Сліпого, 8",19361427
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""ПОРТАЛ""",64.19 Інші види грошового посередництва,ПІДДУБНИЙ РОМАН МИХАЙЛОВИЧ,"ПАТ ""БАНК ""ПОРТАЛ""","01135, м.Київ, Шевченківський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 5 А",38870739
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВЕКТОР БАНК""",64.19 Інші види грошового посередництва,САВЕЛЬЄВА АННА МИКОЛАЇВНА,"ПАТ ""ВЕКТОР БАНК""","01033, м.Київ, Голосіївський район, ВУЛИЦЯ ТАРАСІВСЬКА, будинок 9",39037656
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""КРИСТАЛБАНК""",64.19 Інші види грошового посередництва,ГРЕБІНСЬКИЙ ЛЕОНІД АНДРІЙОВИЧ,"ПАТ ""КРИСТАЛБАНК""","04053, м.Київ, Шевченківський район, ВУЛИЦЯ КУДРЯВСЬКИЙ УЗВІЗ, будинок 2",39544699
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РВС БАНК""",64.19 Інші види грошового посередництва,КРАВЕЦЬ ВЛАДИСЛАВ ІВАНОВИЧ,"ПАТ ""РВС БАНК""","04071, м.Київ, Подільський район, ВУЛИЦЯ ВВЕДЕНСЬКА, будинок 29/58",39849797
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК""",64.19 Інші види грошового посередництва,ОБЕРЕМКО РОМАН АНАТОЛІЙОВИЧ,"ПАТ ""МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК""","03141, м.Київ, Солом'янський район, ВУЛИЦЯ СОЛОМ'ЯНСЬКА, будинок 33",34353904
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ТАСКОМБАНК""",64.19 Інші види грошового посередництва,МЕЛЕШ КАТЕРИНА ВОЛОДИМИРІВНА,"АТ ""ТАСКОМБАНК""","01032, м.Київ, Шевченківський район, ВУЛИЦЯ СИМОНА ПЕТЛЮРИ, будинок 30",9806443
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ПРЕМІУМ""",64.19 Інші види грошового посередництва,ПЕРВАК ЛЕОНІД МИКОЛАЙОВИЧ,"ПАТ ""КБ ""ПРЕМІУМ""","01014, м.Київ, Печерський район, ВУЛ.БАСТІОННА, будинок 1/36",35264721
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РОЗРАХУНКОВИЙ ЦЕНТР З ОБСЛУГОВУВАННЯ ДОГОВОРІВ НА ФІНАНСОВИХ РИНКАХ""",64.19 Інші види грошового посередництва,ШАПОВАЛ ЮРІЙ ІВАНОВИЧ,"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","04107, м.Київ, Шевченківський район, ВУЛИЦЯ ТРОПІНІНА, будинок 7-Г",35917889
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""УКРСИББАНК""",64.19 Інші види грошового посередництва,ДЮМЕЛЬ ФІЛІП БЕРНАР,"АТ ""УКРСИББАНК""","04070, м.Київ, Подільський район, ВУЛИЦЯ АНДРІЇВСЬКА, будинок 2/12",9807750
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СКАЙ БАНК""",64.19 Інші види грошового посередництва,СЄРЬОГІН КОСТЯНТИН ВІКТОРОВИЧ,"ПАТ ""СКАЙ БАНК""","01054, м.Київ, Шевченківський район, ВУЛИЦЯ  ГОНЧАРА ОЛЕСЯ, будинок 76/2",9620081
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РЕАЛ БАНК""",64.19 Інші види грошового посередництва,ЄРМАК ВАЛЕРІЙ ОЛЕКСАНДРОВИЧ,"ПАТ ""РЕАЛ БАНК""","61072, Харківська обл., місто Харків, Дзержинський район, ПРОСПЕКТ ЛЕНІНА, будинок 60",14360721
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СХІДНО-УКРАЇНСЬКИЙ БАНК ""ГРАНТ""",64.19 Інші види грошового посередництва,МАРТИРОСОВ ВОЛОДИМИР ІВАНОВИЧ,"ПАТ ""БАНК ""ГРАНТ""","61001, Харківська обл., місто Харків, Дзержинський район, ВУЛИЦЯ ДАНИЛЕВСЬКОГО, будинок 19",14070197
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МЕГАБАНК""",64.19 Інші види грошового посередництва,ШИПІЛОВ ОЛЕКСАНДР ОЛЕКСАНДРОВИЧ,"ПАТ ""МЕГАБАНК""","61002, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ АЛЧЕВСЬКИХ, будинок 30",9804119
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗЕМЕЛЬНИЙ БАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ГРІШИНА НІНА ЛЕОНІДІВНА,"ПАТ ""ЗЕМБАНК""","61057, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ЧЕРНИШЕВСЬКА, будинок 4",19358721
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК ""МЕРКУРІЙ""",64.19 Інші види грошового посередництва,ЄРМАК ВАЛЕРІЙ ОЛЕКСАНДРОВИЧ,"АТ БАНК ""МЕРКУРІЙ""","61002, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ПЕТРОВСЬКОГО, будинок 23",14360386
припинено,"АКЦІОНЕРНИЙ БАНК ""ФАКТОРІАЛ-БАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,БАЛИК СВІТЛАНА ЄВГЕНІВНА,"АБ""ФАКТОРІАЛ-БАНК""","61057, Харківська обл., місто Харків, Дзержинський район, ВУЛИЦЯ РИМАРСЬКА, будинок 32",14350784
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКБ ""БАЗИС""",70.22 Консультування з питань комерційної діяльності й керування,ПИЛИПЕНКО ЄВГЕН АНАТОЛІЙОВИЧ,"ПАТ ""АКБ ""БАЗИС""","84500, Донецька обл., місто Бахмут, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 63, квартира 10",19358916
припинено,"Інвестиційно-комерційний акціонерний банк ""Ера""",,,,"310054, м. Харків, вул. Академіка Павлова, 120",19356515
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІННОВАЦІЙНО - ПРОМИСЛОВИЙ БАНК""",64.19 Інші види грошового посередництва,СОЛОВЙОВ ВОЛОДИМИР ОЛЕКСІЙОВИЧ,"ПАТ ""ІНПРОМБАНК""","61003, Харківська обл., місто Харків, Дзержинський район, ВУЛИЦЯ КЛОЧКІВСЬКА, будинок 3",20021814
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ЗОЛОТІ ВОРОТА""",64.19 Інші види грошового посередництва,ЄРМАК ВАЛЕРІЙ ОЛЕКСАНДРОВИЧ,"АТ ""БАНК ЗОЛОТІ ВОРОТА""","61166, Харківська обл., місто Харків, Дзержинський район, ПРОСПЕКТ ЛЕНІНА, будинок 36",20015529
припинено,"Акціонерний банк ""ІНВЕСТ-БАНК УКРАЇНА""",,,,"310166, м. Харків, вул. Новгородська‚ 11",22621582
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ПОЛІКОМБАНК""","64.99 Надання інших фінансових послуг (крім страхування та пенсійного забезпечення), н. в. і. у.",ТАРАСОВЕЦЬ МИКОЛА ПАВЛОВИЧ,ПОЛІКОМБАНК,"14013, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ О. МОЛОДЧОГО, будинок 46",19356610
припинено,"Акціонерний комерційний ""Євробанк""",,,,"250000, м. Чернігів, вул. Леніна, 32",14253207
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АСВІО БАНК""",64.19 Інші види грошового посередництва,ВОЇНОВА ЛЮДМИЛА АНАТОЛІЇВНА,"ПАТ ""АСВІО БАНК""","14000, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ПРЕОБРАЖЕНСЬКА, будинок 2",9809192
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""ДЕМАРК""",64.19 Інші види грошового посередництва,ПАЛАМАРЧУК ВІТАЛІЙ ВІТАЛІЙОВИЧ,"БАНК ""ДЕМАРК""","14000, Чернігівська обл., місто Чернігів, Новозаводський район, ВУЛ. КОМСОМОЛЬСЬКА, будинок 28",19357516
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЄВРОПЕЙСЬКИЙ ПРОМИСЛОВИЙ БАНК""",64.19 Інші види грошового посередництва,ФІЛЕНКОВА ЗОЯ ЮРІЇВНА,"ПАТ ""ЄВРОПРОМБАНК""","01004, м.Київ, Шевченківський район, БУЛЬВАР ШЕВЧЕНКА ТАРАСА, будинок 11, приміщення 51",36061927
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ГЕФЕСТ""",64.19 Інші види грошового посередництва,ВАРХАЛЬОВ ПЕТРО ЮРІЙОВИЧ,"ПАТ ""КОМЕРЦІЙНИЙ БАНК ""ГЕФЕСТ""","04208, м.Київ, Подільський район, ВУЛИЦЯ ПОРИКА ВАСИЛЯ, будинок 13",38770082
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ""",64.19 Інші види грошового посередництва,ОБЕРЕМКО РОМАН АНАТОЛІЙОВИЧ,"ПАТ ""КБ ""УФС""","83050, Донецька обл., місто Донецьк, Ворошиловський район, ПРОСПЕКТ МИРУ, будинок 5""Б""",26444836
припинено,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ФІДОКОМБАНК""",64.19 Інші види грошового посередництва,РОМУШКА ЮРІЙ ОЛЕКСІЙОВИЧ,"ПАТ ""ФКБ БАНК""","03056, м.Київ, Солом'янський район, ВУЛИЦЯ ПОЛЬОВА, будинок 24 /ЛІТ.Д/",34001693
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БАНК РЕНЕСАНС КАПІТАЛ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,КОВАЛЬОВ ОЛЕКСАНДР ІГОРОВИЧ,"ТОВ ""БАНК РЕНЕСАНС КАПІТАЛ""","02002, м.Київ, Дніпровський район, ВУЛИЦЯ РАЇСИ ОКІПНОЇ , будинок 8-Б",26333064
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ФІНАНСОВА ІНІЦІАТИВА""",64.19 Інші види грошового посередництва,КАШУТА ДМИТРО ЄВГЕНОВИЧ,"ПАТ"" КОМЕРЦІЙНИЙ БАНК ""ФІНАНСОВА ІНІЦІАТИВА""","03150, м.Київ, Печерський район, ВУЛИЦЯ ЩОРСА , будинок 7/9",33299878
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВСЬКИЙ УНІВЕРСАЛЬНИЙ БАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ТИМОФЕЄВ ЄВГЕН ІВАНОВИЧ,"ТОВ ""КИЇВСЬКИЙ УНІВЕРСАЛЬНИЙ БАНК""","02098, м.Київ, Дніпровський район, ПРОСПЕКТ ПАВЛА ТИЧИНИ, будинок 8",14263173
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""ТРАСТ-КАПІТАЛ""",64.19 Інші види грошового посередництва,КРАВЧЕНКО ПЕТРО ІВАНОВИЧ,"ПАТ ""АКБ ""ТРАСТ-КАПІТАЛ""","01103, м.Київ, Печерський район, ВУЛИЦЯ ПІДВИСОЦЬКОГО, будинок 7",26519933
припинено,"КОМЕРЦІЙНИЙ БАНК ""УКРАЇНСЬКА ФІНАНСОВА ГРУПА""-ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ",64.19 Інші види грошового посередництва,ФАТЄЄВА ВІКТОРІЯ ЛЕОНІДІВНА,"КБ ""УФГ""-ТОВ","01021, м.Київ, Печерський район, ВУЛ. ГРУШЕВСЬКОГО МИХАЙЛА/КРІПОСНИЙ ЯР, будинок №34/1, ЛІТ А",26549574
в стані припинення,"АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""ЄВРОПЕЙСЬКИЙ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,КОВАЛЕВСЬКИЙ ВІТАЛІЙ ОЛЕКСАНДРОВИЧ,"АКБ ""ЄВРОПЕЙСЬКИЙ""","04070, м.Київ, Подільський район, ВУЛИЦЯ ПОЧАЙНИНСЬКА, будинок 38/44",19359904
припинено,"ЗАКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВНЄШТОРГБАНК УКРАЇНА """,65 ГРОШОВЕ ТА  ФІНАНСОВЕ ПОСЕРЕДНИЦТВО,КНІГНІЦЬКИЙ ЯРОСЛАВ МИХАЙЛОВИЧ,"ЗАТ ""ВНЄШТОРГБАНК УКРАЇНА""","01033, м.Київ, Голосіївський район, ВУЛИЦЯ ЖИЛЯНСЬКА, будинок 35",33294890
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА БАНК""",64.19 Інші види грошового посередництва,КАДИРОВ ВЛАДИСЛАВ ВОЛОДИМИРОВИЧ,"АТ ""ДЕЛЬТА БАНК""","01133, м.Київ, Печерський район,   ВУЛ. ЩОРСА , будинок 36-Б",34047020
в стані припинення,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ІПОБАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,ВЛАСЕНКО ЮРІЙ МИКОЛАЙОВИЧ,"ВАТ КБ ""ІПОБАНК""","03124, м.Київ, Солом'янський район, ВУЛИЦЯ МИКОЛИ ВАСИЛЕНКА, будинок 15",34540768
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,АНТОНЮК ВОЛОДИМИР ЄВГЕНОВИЧ,"ТОВ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","04119, м.Київ, Шевченківський район, ВУЛИЦЯ МЕЛЬНИКОВА, будинок 83-Д",33695095
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КСГ""","64.99 Надання інших фінансових послуг (крім страхування та пенсійного забезпечення), н. в. і. у.",СКОРОХОД АНДРІЙ ВОЛОДИМИРОВИЧ,"ПАТ ""КСГ""","49044, Дніпропетровська обл., місто Дніпро, Соборний район, ВУЛИЦЯ ЛИВАРНА, будинок 6",19364584
в стані припинення,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КОМЕРЦІЙНИЙ БАНК ""АРМА""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,ДОВГОПОЛЮК ОЛЕКСАНДР ІВАНОВИЧ,,"01033, м.Київ, Голосіївський район, ВУЛИЦЯ ЖИЛЯНСЬКА, будинок 41-А",26379729
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ФІНЕКСБАНК""",64.19 Інші види грошового посередництва,ПЕТРЕНКО ВЛАДЛЕН ГРИГОРОВИЧ,"ПАТ ""ФІНЕКСБАНК""","03038, м.Київ, Солом'янський район, ВУЛИЦЯ МИКОЛИ ГРІНЧЕНКА, будинок 4,  ЛІТ.Б",20021524
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БАНК БОГУСЛАВ""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,ТКАЧЕНКО СВІТЛАНА ЮРІЇВНА,"ТОВ ""БАНК БОГУСЛАВ""","04080, м.Київ, Подільський район, ВУЛИЦЯ НИЖНЬОЮРКІВСЬКА, будинок 81",34540113
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КОМЕРЦІЙНИЙ БАНК ""ЄВРОБАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,КУЧМЕНКО ОЛЕКСАНДР МИКОЛАЙОВИЧ,"ТОВ КБ ""ЄВРОБАНК""","01032, м.Київ, Шевченківський район, БУЛЬВАР ТАРАСА ШЕВЧЕНКА, будинок 35",33305163
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КРЕДИТ ЄВРОПА БАНК""",64.19 Інші види грошового посередництва,АНЛИАТАМЕР ОНУР,"ПАТ ""КРЕДИТ ЄВРОПА БАНК""","01601, м.Київ, Печерський район, ВУЛИЦЯ МЕЧНІКОВА, будинок 2",34576883
припинено,"ЗАКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКИЙ БУДІВЕЛЬНО-ІНВЕСТИЦІЙНИЙ БАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ТАМРАЗЯН ГОАР АЗАТОВНА,"ЗАТ ""УКРБУДІНВЕСТБАНК""","01133, м.Київ, Печерський район, БУЛЬВАР ЛЕСІ УКРАЇНКИ, будинок 30 В",26547581
припинено,"ЗАКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МІЖНАРОДНИЙ ІПОТЕЧНИЙ БАНК""",65.22.0 НАДАННЯ КРЕДИТІВ,ФРАНКОВСЬКА ОЛЕНА ВІКТОРІВНА,"ЗАТ ""МІЖНАРОДНИЙ ІПОТЕЧНИЙ БАНК""","04050, м.Київ, Шевченківський район,  ВУЛИЦЯ ПИМОНЕНКА, будинок 13, корпус 4",33308489
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК КАМБІО""",64.19 Інші види грошового посередництва,ДОДУСЕНКО ВОЛОДИМИР ІВАНОВИЧ,"ПАТ ""БАНК КАМБІО""","01001, м.Київ, Печерський район, ВУЛИЦЯ ЗАНЬКОВЕЦЬКОЇ/СТАНІСЛАВСЬКОГО, будинок 3/1",26549700
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БАНК РУСКИЙ СТАНДАРТ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,КОМАШКО ОЛЕНА ЛЕОНІДІВНА,"ТОВ ""БАНК РУСКИЙ СТАНДАРТ""","04107, м.Київ, Шевченківський район, ВУЛИЦЯ ПОЛОВЕЦЬКА, будинок 3/42",34186061
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЄВРОПЕЙСЬКИЙ ГАЗОВИЙ БАНК""",64.19 Інші види грошового посередництва,ОБЕРЕМКО РОМАН АНАТОЛІЙОВИЧ,"АТ ""ЄВРОГАЗБАНК""","04073, м.Київ, Оболонський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 16",34693790
припинено,"ЗАКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВЕСТ ФАЙНЕНС ЕНД КРЕДИТ БАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,ДОБРОВ МИХАЙЛО ГЕННАДІЙОВИЧ,"ЗАТ""КРЕДИТВЕСТ БАНК""","03150, м.Київ, Печерський район, ВУЛИЦЯ КОВПАКА, будинок 17",34575675
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК ""ТРАСТ""",64.19 Інші види грошового посередництва,КУХАРЕВ ВОЛОДИМИР ВАЛЕНТИНОВИЧ,"ПАТ БАНК ""ТРАСТ""","01014, м.Київ, Печерський район, ВУЛИЦЯ БОЛСУНОВСЬКА, будинок 8",35371070
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""СОЮЗ""",64.19 Інші види грошового посередництва,БУГАЙОВ АНДРІЙ ІВАНОВИЧ,"АТ ""КБ ""СОЮЗ""","01010, м.Київ, Печерський район, ВУЛИЦЯ СУВОРОВА, будинок 4",35574578
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ГЛОБУС""",64.19 Інші види грошового посередництва,МАМЕДОВ СЕРГІЙ ГЕННАДІЙОВИЧ,"ПАТ ""КБ ""ГЛОБУС""","04073, м.Київ, Оболонський район, ПРОВУЛОК КУРЕНІВСЬКИЙ, будинок 19/5",35591059
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВСЕУКРАЇНСЬКИЙ АКЦІОНЕРНИЙ БАНК""",64.19 Інші види грошового посередництва,СЛАВКІНА МАРИНА АНАТОЛІЇВНА,"ПАТ ""ВІЕЙБІ БАНК""","04119, м.Київ, Шевченківський район, ВУЛИЦЯ ДЕГТЯРІВСЬКА, будинок 27 Т",19017842
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АГРОПРОСПЕРІС БАНК""",64.19 Інші види грошового посередництва,ЩЕПАНСЬКИЙ СЕРГІЙ АНАТОЛІЙОВИЧ,"ПАТ ""АП БАНК""","04119, м.Київ, Шевченківський район, ВУЛИЦЯ ДЕГТЯРІВСЬКА, БУДИНОК 27-Т (ЛІТЕРА А)",35590956
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРФІНАНСБАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,КРИВЕЦЬ ВАЛЕРІЙ ВОЛОДИМИРОВИЧ,"ТОВ ""УКРФІНАНСБАНК""","01054, м.Київ, Шевченківський район, ВУЛИЦЯ ДМИТРІВСЬКА, будинок 69",34819265
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК""",64.19 Інші види грошового посередництва,ЛЮДВИК КОСТЯНТИН АНАТОЛІЙОВИЧ,"ПАТ ""МІБ""","01015, м.Київ, Печерський район, ВУЛИЦЯ ЛАВРСЬКА, будинок 16",35810511
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ТЕРРА БАНК""",64.19 Інші види грошового посередництва,ІРКЛІЄНКО ЮРІЙ ПЕТРОВИЧ,"ПАТ ""ТЕРРА БАНК""","01103, м.Київ, Печерський район, БУЛЬВАР ДРУЖБИ НАРОДІВ, будинок 28 В",24425738
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗЛАТОБАНК""",64.19 Інші види грошового посередництва,СЛАВКІНА МАРИНА АНАТОЛІЇВНА,"АТ ""ЗЛАТОБАНК""","01030, м.Київ, Шевченківський район, ВУЛИЦЯ Б.ХМЕЛЬНИЦЬКОГО, будинок 17/52",35894495
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК СТОЛИЦЯ""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,КУНО ЄВГЕНІЙ ГЕННАДІЙОВИЧ,"ПАТ  ""БАНК СТОЛИЦЯ""","04205, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА ТИМОШЕНКО, будинок 29-Б",26520464
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""АКОРДБАНК""",64.19 Інші види грошового посередництва,КОТ ЗІНАЇДА ПЕТРІВНА,"ПУАТ ""КБ ""АКОРДБАНК""","04136, м.Київ, Подільський район, ВУЛИЦЯ СТЕЦЕНКО, будинок 6",35960913
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК 3/4""",64.19 Інші види грошового посередництва,ІЩЕНКО ВАДИМ АНДРІЙОВИЧ,"ПАТ ""БАНК 3/4""","04080, м.Київ, Подільський район, ВУЛИЦЯ КИРИЛІВСЬКА, будинок 25",36002395
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЕРДЕ БАНК""",64.19 Інші види грошового посередництва,КАРАЧЕНЦЕВ АРТЕМ ЮРІЙОВИЧ,"АТ ""ЕРДЕ БАНК""","04070, м.Київ, Подільський район, ВУЛИЦЯ П. САГАЙДАЧНОГО/ІГОРІВСЬКА, будинок 10/5 ЛІТЕРА А",34817907
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВЕРНУМ БАНК""",64.19 Інші види грошового посередництва,САВЧУК ОЛЕКСАНДР МИКОЛАЙОВИЧ,"ПАТ ""ВЕРНУМ БАНК""","02094, м.Київ, Дніпровський район, ПРОСПЕКТ  ГАГАРІНА ЮРІЯ, будинок 17-В",36301800
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""СТАНДАРТ""",64.19 Інші види грошового посередництва,ІРКЛІЄНКО ЮРІЙ ПЕТРОВИЧ,"ПАТ КБ ""СТАНДАРТ""","04071, м.Київ, Подільський район, ВУЛИЦЯ ПОЧАЙНИНСЬКА, будинок 45",36335426
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АВАНТ-БАНК""",64.19 Інші види грошового посередництва,ЛАРЧЕНКО ІРИНА МИКОЛАЇВНА,"ПАТ ""АВАНТ-БАНК""","03110, м.Київ, Солом'янський район, ВУЛИЦЯ ІВАНА КЛИМЕНКА, будинок 23",36406512
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ""",64.19 Інші види грошового посередництва,МІХНО СЕРГІЙ СЕМЕНОВИЧ,"ПАТ ""ВБР""","01135, м.Київ, Шевченківський район, ВУЛИЦЯ ЧОРНОВОЛА В'ЯЧЕСЛАВА, будинок 25",36470620
