code,value
1520507,Вексель фінансовий банківський бездокументарний переказний
1230600,Заставна
1130610,Іпотечна облігація звичайна бездокументарна іменна
1130611,Іпотечна облігація структурована бездокументарна іменна
1130620,Іпотечний сертифікат із фіксованою дохідністю бездокументарний іменний
1230620,Іпотечний сертифікат із фіксованою дохідністю документарний іменний
1330620,Іпотечний сертифікат із фіксованою дохідністю документарний на пред'явника
1130621,Іпотечний сертифікат участі бездокументарний іменний
1230621,Іпотечний сертифікат участі документарний іменний
1330621,Іпотечний сертифікат участі документарний на пред'явника
2110710,Опціонний сертифікат на купівлю з поставкою базового активу (цінних паперів) бездокументарний іменний
2120710,Опціонний сертифікат на купівлю з поставкою базового активу (валюти) бездокументарний іменний
2160710,Опціонний сертифікат на купівлю з поставкою базового активу (товару) бездокументарний іменний
2210710,Опціонний сертифікат на купівлю з поставкою базового активу (цінних паперів) документарний іменний
2220710,Опціонний сертифікат на купівлю з поставкою базового активу (валюти) документарний іменний
2260710,Опціонний сертифікат на купівлю з поставкою базового активу (товару) документарний іменний
2110711,Опціонний сертифікат на купівлю без поставки базового активу (цінних паперів) бездокументарний іменний
2120711,Опціонний сертифікат на купівлю без поставки базового активу (валюти) бездокументарний іменний
2160711,Опціонний сертифікат на купівлю без поставки базового активу (товару) бездокументарний іменний
2210711,Опціонний сертифікат на купівлю без поставки базового активу (цінних паперів) документарний іменний
2220711,Опціонний сертифікат на купівлю без поставки базового активу (валюти) документарний іменний
2260711,Опціонний сертифікат на купівлю без поставки базового активу (товару) документарний іменний
2110720,Опціонний сертифікат на продаж з поставкою базового активу (цінних паперів) бездокументарний іменний
2120720,Опціонний сертифікат на продаж з поставкою базового активу (валюти) бездокументарний іменний
2160720,Опціонний сертифікат на продаж з поставкою базового активу (товару) бездокументарний іменний
2210720,Опціонний сертифікат на продаж з поставкою базового активу (цінних паперів) документарний іменний
2220720,Опціонний сертифікат на продаж з поставкою базового активу (валюти) документарний іменний
2260720,Опціонний сертифікат на продаж з поставкою базового активу (товару) документарний іменний
2110721,Опціонний сертифікат на продаж без поставки базового активу (цінних паперів) бездокументарний іменний
2120721,Опціонний сертифікат на продаж без поставки базового активу (валюти) бездокументарний іменний
2160721,Опціонний сертифікат на продаж без поставки базового активу (товару) бездокументарний іменний
2210721,Опціонний сертифікат на продаж без поставки базового активу (цінних паперів) документарний іменний
2220721,Опціонний сертифікат на продаж без поставки базового активу (валюти) документарний іменний
2260721,Опціонний сертифікат на продаж без поставки базового активу (товару) документарний іменний
3010810,Опціон на купівлю з поставкою базового активу (цінних паперів)
3020810,Опціон на купівлю з поставкою базового активу (валюти)
3030810,Опціон на купівлю з поставкою базового активу (деривативів)
3060810,Опціон на купівлю з поставкою базового активу (товару)
3010811,Опціон на купівлю без поставки базового активу (цінних паперів)
3020811,Опціон на купівлю без поставки базового активу (валюти)
3030811,Опціон на купівлю без поставки базового активу (деривативів)
3060811,Опціон на купівлю без поставки базового активу (товару)
3010820,Опціон на продаж з поставкою базового активу (цінних паперів)
3020820,Опціон на продаж з поставкою базового активу (валюти)
3030820,Опціон на продаж з поставкою базового активу (деривативів)
3060820,Опціон на продаж з поставкою базового активу (товару)
3010821,Опціон на продаж без поставки базового активу (цінних паперів)
3020821,Опціон на продаж без поставки базового активу (валюти)
3030821,Опціон на продаж без поставки базового активу (деривативів)
3060821,Опціон на продаж без поставки базового активу (товару)
3010830,Ф’ючерсний контракт з поставкою базового активу (цінних паперів)
3020830,Ф’ючерсний контракт з поставкою базового активу (валюти)
3030830,Ф’ючерсний контракт з поставкою базового активу (деривативів)
3060830,Ф’ючерсний контракт з поставкою базового активу (товару)
3010835,Ф’ючерсний контракт без поставки базового активу (цінних паперів)
3020835,Ф’ючерсний контракт без поставки базового активу (валюти)
3030835,Ф’ючерсний контракт без поставки базового активу (деривативів)
3040835,Ф’ючерсний контракт без поставки базового активу (фондового індексу)
3050835,Ф’ючерсний контракт без поставки базового активу (процентної ставки)
3060835,Ф’ючерсний контракт без поставки базового активу (товару)
3010840,Форвардний контракт з поставкою базового активу (цінних паперів)
3020840,Форвардний контракт з поставкою базового активу (валюти)
3060840,Форвардний контракт з поставкою базового активу (товару)
3010850,Своп з поставкою базового активу (цінних паперів)
3020850,Своп з поставкою базового активу (валюти)
3060850,Своп з поставкою базового активу (товару)
3010855,Своп без поставки базового активу (цінних паперів)
3020855,Своп без поставки базового активу (валюти)
3060855,Своп без поставки базового активу (товару)
5260900,Просте складське свідоцтво
5360901,Подвійне складське свідоцтво
1111100,Акція іноземного емітента бездокументарна іменна
1121200,Облігація іноземного емітента бездокументарна іменна
1121300,Облігація іноземної держави бездокументарна іменна
1121400,Фінансовий інструмент (у тому числі цінний папір) іншого виду іноземного емітента бездокументарний іменний
